         --- PACKET LOG ---
CHANNEL: DatagramSocket1
INTERLEAVER DEPTH: 2
TIMESTAMP: 11-03-2026_00-26-24
-----------------------------------------
SEQ NO RECEIVED  DELAY(ms)  STATUS      
0      0         0          TIMEOUT     
1      0         0          TIMEOUT     
2      0         0          TIMEOUT     
3      0         0          TIMEOUT     
4      0         0          TIMEOUT     
5      0         0          TIMEOUT     
6      0         0          TIMEOUT     
7      0         0          TIMEOUT     
8      0         0          TIMEOUT     
9      0         0          TIMEOUT     
10     0         0          TIMEOUT     
11     0         0          TIMEOUT     
12     0         0          TIMEOUT     
13     0         0          TIMEOUT     
14     0         0          TIMEOUT     
15     0         0          TIMEOUT     
16     0         0          TIMEOUT     
17     0         0          TIMEOUT     
18     0         0          TIMEOUT     
19     0         0          TIMEOUT     
20     0         0          TIMEOUT     
21     0         0          TIMEOUT     
22     0         0          TIMEOUT     
23     0         0          TIMEOUT     
24     0         0          TIMEOUT     
